firstname;lastname;username;password;OU;mail;number;securitygroup
Katarina;Horvat;khorvat;c!26D54P;Uprava;khorvat@vladimir.putin;0913045222;Zaposlenici
Hrvoje;Nikolic;hnikolic;"u""34U41T";Financije;hnikolic@vladimir.putin;0913379077;Zaposlenici
Krsto;Kovacevic;kkovacevic;"n""26N12J";Vanjski korisnici;kkovacevic@vladimir.putin;0915523936;Zaposlenici
Neda;Mamic;nmamic;b!26M34G;Financije;nmamic@vladimir.putin;0917718896;Vanjski
Kosjenka;Nikolic;knikolic;"p""31T11J";Vanjski korisnici;knikolic@vladimir.putin;0919269831;DistroGrupa
Tvrtko;Jukic;tjukic;a$18H26G;Vanjski korisnici;tjukic@vladimir.putin;0916375394;DistroGrupa
Branimir;Mamic;bmamic;"e""23L69F";Vanjski korisnici;bmamic@vladimir.putin;0919885838;Administrator
Tvrtko;Jukic;tjukic;l%17H20L;Marketing;tjukic@vladimir.putin;0918327457;Administrator
Bojana;Posavec;bposavec;n#91G28T;Vanjski korisnici;bposavec@vladimir.putin;0913237512;Vanjski
Zorja;Kovacevic;zkovacevic;f!83I37J;Uprava;zkovacevic@vladimir.putin;0919786378;Vanjski
Doroteja;Simunovic;dsimunovic;n!47L53U;Marketing;dsimunovic@vladimir.putin;0912120726;DistroGrupa
Ann;Horvat;ahorvat;c!29T70W;Vanjski korisnici;ahorvat@vladimir.putin;0913010668;Vanjski
Neda;Posavec;nposavec;f$47K76W;Financije;nposavec@vladimir.putin;0913388132;Administrator
Hrvoje;Bosnjak;hbosnjak;n&96C81K;Uprava;hbosnjak@vladimir.putin;0914063905;Administrator
Katarina;Knezevic;kknezevic;f#43X76G;Vanjski korisnici;kknezevic@vladimir.putin;0917559681;Administrator
Kosjenka;Bosnjak;kbosnjak;l%77D90M;Marketing;kbosnjak@vladimir.putin;0915786137;Administrator
Bojana;Nikolic;bnikolic;k%31K59D;Financije;bnikolic@vladimir.putin;0911630335;Zaposlenici
George;Posavec;gposavec;l&16V48W;Uprava;gposavec@vladimir.putin;0911633119;Zaposlenici
Doroteja;Tomic;dtomic;i%92I52Z;Marketing;dtomic@vladimir.putin;0918427349;Zaposlenici
Branimir;Posavec;bposavec;p!41R90L;Uprava;bposavec@vladimir.putin;0916444887;Vanjski
Matt;Loncar;mloncar;c&84F76K;Financije;mloncar@vladimir.putin;0918875027;Vanjski
Toni;Bosnjak;tbosnjak;f#46I84V;Financije;tbosnjak@vladimir.putin;0910000828;Zaposlenici
Bojana;Bozic;bbozic;q%66C42X;Uprava;bbozic@vladimir.putin;0910946431;DistroGrupa
Margarita;Filipovic;mfilipovic;f#38T65X;Vanjski korisnici;mfilipovic@vladimir.putin;0913387159;Administrator
Drzislav;Cosci;dcosci;o%17W51Q;Vanjski korisnici;dcosci@vladimir.putin;0913725520;Administrator
Milan;Horvat;mhorvat;t$57F51P;Marketing;mhorvat@vladimir.putin;0913936885;Administrator
Bojana;Bosnjak;bbosnjak;s$64Z77O;Financije;bbosnjak@vladimir.putin;0911774477;DistroGrupa
Doroteja;Kovacevic;dkovacevic;"i""11B29C";Financije;dkovacevic@vladimir.putin;0912547173;DistroGrupa
Lela;Filipovic;lfilipovic;p&54R48Y;Vanjski korisnici;lfilipovic@vladimir.putin;0919631264;Vanjski
Vesna;Loncar;vloncar;g%88F78Y;Vanjski korisnici;vloncar@vladimir.putin;0910650775;Zaposlenici
Neda;Horvat;nhorvat;b!39M36I;Financije;nhorvat@vladimir.putin;0912735832;Vanjski
Branimir;Nikolic;bnikolic;i%89L54U;Uprava;bnikolic@vladimir.putin;0915555847;DistroGrupa
Miroslav;Nikolic;mnikolic;a$57I27A;Marketing;mnikolic@vladimir.putin;0914366466;Zaposlenici
Hrvojka;Cosci;hcosci;r#78Q21K;Uprava;hcosci@vladimir.putin;0911730264;Administrator
Vladislava;Kovacevic;vkovacevic;m!14S29C;Marketing;vkovacevic@vladimir.putin;0917646760;Vanjski
Sam;Filipovic;sfilipovic;"q""72X18O";Vanjski korisnici;sfilipovic@vladimir.putin;0917923245;DistroGrupa
Toni;Bosnjak;tbosnjak;u&66C36T;Uprava;tbosnjak@vladimir.putin;0919855469;Vanjski
Zvonimir;Posavec;zposavec;n%60O96N;Vanjski korisnici;zposavec@vladimir.putin;0910293679;Administrator
Hrvoje;Tomic;htomic;v#22R86F;Financije;htomic@vladimir.putin;0919562338;Zaposlenici
Milan;Filipovic;mfilipovic;o!74K16D;Uprava;mfilipovic@vladimir.putin;0918483742;Zaposlenici
Zora;Horvat;zhorvat;d#28H32J;Uprava;zhorvat@vladimir.putin;0910965249;DistroGrupa
Dzuro;Cosci;dcosci;c&17K39P;Uprava;dcosci@vladimir.putin;0911236383;DistroGrupa
Matt;Jukic;mjukic;x$21K24F;Vanjski korisnici;mjukic@vladimir.putin;0912027977;DistroGrupa
Pero;Kovacevic;pkovacevic;"d""18S53Z";Vanjski korisnici;pkovacevic@vladimir.putin;0915638075;Administrator
Neda;Mamic;nmamic;c!98P96O;Marketing;nmamic@vladimir.putin;0915436549;Zaposlenici
Matt;Simunovic;msimunovic;p#76X48K;Vanjski korisnici;msimunovic@vladimir.putin;0911450390;Administrator
Lela;Bosnjak;lbosnjak;x#10R63A;Marketing;lbosnjak@vladimir.putin;0912938746;Vanjski
Doroteja;Cosci;dcosci;i%82T74L;Marketing;dcosci@vladimir.putin;0910201000;Zaposlenici
