firstname;lastname;username;password;OU;mail;number;securitygroup
Vuk;Knezevic;vknezevic;s&46S86W;OU=Financije,DC=vladimir,DC=putin;vknezevic@vladimir.putin;915818924;Zaposlenici
Hrvojka;Mamic;hmamic;g!49X76O;OU=Financije,DC=vladimir,DC=putin;hmamic@vladimir.putin;918519627;DistroGrupa
Margarita;Posavec;mposavec;g#92G31L;OU=Financije,DC=vladimir,DC=putin;mposavec@vladimir.putin;916066613;Administrator
Kresimir;Jukic;kjukic;q%48Y14M;OU=Financije,DC=vladimir,DC=putin;kjukic@vladimir.putin;913336699;Zaposlenici
Miroslav;Mamic;mmamic;a&69Q34U;OU=Vanjski korisnici,DC=vladimir,DC=putin;mmamic@vladimir.putin;919318944;Administrator
Kosjenka;Nikolic;knikolic;e%55V29W;OU=Marketing,DC=vladimir,DC=putin;knikolic@vladimir.putin;919655131;DistroGrupa
Tvrtko;Bozic;tbozic;"d""31P39S";OU=Uprava,DC=vladimir,DC=putin;tbozic@vladimir.putin;916803374;Zaposlenici
Toni;Horvat;thorvat;r#30D98S;OU=Financije,DC=vladimir,DC=putin;thorvat@vladimir.putin;916128367;DistroGrupa
Pero;Posavec;pposavec;u!36U32Y;OU=Uprava,DC=vladimir,DC=putin;pposavec@vladimir.putin;912749812;Vanjski
Hrvoje;Kovacevic;hkovacevic;s!16E13K;OU=Financije,DC=vladimir,DC=putin;hkovacevic@vladimir.putin;912669681;Vanjski
Branimir;Knezevic;bknezevic;j%82C67N;OU=Uprava,DC=vladimir,DC=putin;bknezevic@vladimir.putin;919061935;Administrator
Krsto;Tomic;ktomic;o%20I51Y;OU=Uprava,DC=vladimir,DC=putin;ktomic@vladimir.putin;915306005;Zaposlenici
Lela;Filipovic;lfilipovic;y#39P92V;OU=Financije,DC=vladimir,DC=putin;lfilipovic@vladimir.putin;912259213;DistroGrupa
Mislav;Cosci;mcosci;"c""70L37Q";OU=Financije,DC=vladimir,DC=putin;mcosci@vladimir.putin;914052197;Zaposlenici
Margarita;Posavec;mposavec;l$17U75Z;OU=Marketing,DC=vladimir,DC=putin;mposavec@vladimir.putin;916279120;DistroGrupa
Morana;Posavec;mposavec;k!81Y66R;OU=Financije,DC=vladimir,DC=putin;mposavec@vladimir.putin;918972302;Vanjski
Zora;Posavec;zposavec;g%64F13J;OU=Marketing,DC=vladimir,DC=putin;zposavec@vladimir.putin;916540037;Zaposlenici
Toni;Filipovic;tfilipovic;e&48J34D;OU=Vanjski korisnici,DC=vladimir,DC=putin;tfilipovic@vladimir.putin;915154691;Vanjski
Zorja;Simunovic;zsimunovic;q!18G89V;OU=Uprava,DC=vladimir,DC=putin;zsimunovic@vladimir.putin;912914326;Vanjski
Milan;Bozic;mbozic;j#74J80A;OU=Financije,DC=vladimir,DC=putin;mbozic@vladimir.putin;917822293;Vanjski
Dzuro;Posavec;dposavec;h$87T37X;OU=Financije,DC=vladimir,DC=putin;dposavec@vladimir.putin;918438544;Zaposlenici
Neda;Kovacevic;nkovacevic;e$19L57I;OU=Uprava,DC=vladimir,DC=putin;nkovacevic@vladimir.putin;915184971;Vanjski
Zorja;Kovacevic;zkovacevic;x%48G75B;OU=Vanjski korisnici,DC=vladimir,DC=putin;zkovacevic@vladimir.putin;918939603;Administrator
Dzuro;Knezevic;dknezevic;k!86R67K;OU=Marketing,DC=vladimir,DC=putin;dknezevic@vladimir.putin;913251773;Zaposlenici
Lela;Horvat;lhorvat;"v""97W88A";OU=Financije,DC=vladimir,DC=putin;lhorvat@vladimir.putin;916348286;Vanjski
Hrvojka;Loncar;hloncar;"e""89K44P";OU=Marketing,DC=vladimir,DC=putin;hloncar@vladimir.putin;915581289;DistroGrupa
Zvonimir;Bozic;zbozic;t%33R83U;OU=Financije,DC=vladimir,DC=putin;zbozic@vladimir.putin;916980099;Vanjski
George;Nikolic;gnikolic;a$85J73Q;OU=Financije,DC=vladimir,DC=putin;gnikolic@vladimir.putin;917065426;Zaposlenici
Jennifer;Mamic;jmamic;f$59B49D;OU=Financije,DC=vladimir,DC=putin;jmamic@vladimir.putin;910878310;Zaposlenici
George;Horvat;ghorvat;h&11B15Y;OU=Financije,DC=vladimir,DC=putin;ghorvat@vladimir.putin;919643404;Vanjski
Vladislava;Nikolic;vnikolic;f!35H67D;OU=Marketing,DC=vladimir,DC=putin;vnikolic@vladimir.putin;912479186;Administrator
Kosjenka;Nikolic;knikolic;z$33X56P;OU=Marketing,DC=vladimir,DC=putin;knikolic@vladimir.putin;911338106;Vanjski
Zora;Horvat;zhorvat;s%77V92X;OU=Vanjski korisnici,DC=vladimir,DC=putin;zhorvat@vladimir.putin;919698532;Zaposlenici
Kosjenka;Nikolic;knikolic;h#46Y62U;OU=Marketing,DC=vladimir,DC=putin;knikolic@vladimir.putin;915754837;Vanjski
Katarina;Nikolic;knikolic;q!95H21T;OU=Marketing,DC=vladimir,DC=putin;knikolic@vladimir.putin;913511894;Administrator
Hrvoje;Simunovic;hsimunovic;a!26K38L;OU=Marketing,DC=vladimir,DC=putin;hsimunovic@vladimir.putin;913643138;DistroGrupa
Zora;Bosnjak;zbosnjak;t$67Q78I;OU=Marketing,DC=vladimir,DC=putin;zbosnjak@vladimir.putin;917391024;DistroGrupa
Mislav;Simunovic;msimunovic;q$67Z52W;OU=Vanjski korisnici,DC=vladimir,DC=putin;msimunovic@vladimir.putin;919081858;Administrator
Drzislav;Cosci;dcosci;u%83I47H;OU=Uprava,DC=vladimir,DC=putin;dcosci@vladimir.putin;912549191;Vanjski
Doroteja;Cosci;dcosci;y$43M78S;OU=Marketing,DC=vladimir,DC=putin;dcosci@vladimir.putin;913309901;Zaposlenici
George;Nikolic;gnikolic;v!37W63O;OU=Financije,DC=vladimir,DC=putin;gnikolic@vladimir.putin;918354744;DistroGrupa
Hrvoje;Nikolic;hnikolic;"l""72K46C";OU=Uprava,DC=vladimir,DC=putin;hnikolic@vladimir.putin;919434222;DistroGrupa
Lela;Nikolic;lnikolic;j!64S69R;OU=Marketing,DC=vladimir,DC=putin;lnikolic@vladimir.putin;913013234;Zaposlenici
Vladislava;Horvat;vhorvat;c#62A13B;OU=Vanjski korisnici,DC=vladimir,DC=putin;vhorvat@vladimir.putin;919451012;Administrator
Vesna;Bozic;vbozic;y$97I74G;OU=Uprava,DC=vladimir,DC=putin;vbozic@vladimir.putin;918621587;DistroGrupa
Jennifer;Bosnjak;jbosnjak;"g""65L81Y";OU=Uprava,DC=vladimir,DC=putin;jbosnjak@vladimir.putin;914092975;Vanjski
Neda;Filipovic;nfilipovic;"f""50Z88I";OU=Uprava,DC=vladimir,DC=putin;nfilipovic@vladimir.putin;919535724;Administrator
Matt;Horvat;mhorvat;n$35Z23K;OU=Marketing,DC=vladimir,DC=putin;mhorvat@vladimir.putin;913348036;Administrator
Dzuro;Loncar;dloncar;i%16K86S;OU=Uprava,DC=vladimir,DC=putin;dloncar@vladimir.putin;912059973;Administrator
Branimir;Loncar;bloncar;z%27J72T;OU=Marketing,DC=vladimir,DC=putin;bloncar@vladimir.putin;916076693;Vanjski
Krsto;Filipovic;kfilipovic;m#41N62S;OU=Financije,DC=vladimir,DC=putin;kfilipovic@vladimir.putin;913336436;Administrator
Katarina;Loncar;kloncar;m%83J81S;OU=Uprava,DC=vladimir,DC=putin;kloncar@vladimir.putin;910030529;DistroGrupa
Milan;Posavec;mposavec;"y""79O48C";OU=Marketing,DC=vladimir,DC=putin;mposavec@vladimir.putin;918664973;Zaposlenici
Zvonimir;Loncar;zloncar;r&88J17L;OU=Marketing,DC=vladimir,DC=putin;zloncar@vladimir.putin;913991791;DistroGrupa
Vladislav;Bozic;vbozic;b$82Z72E;OU=Marketing,DC=vladimir,DC=putin;vbozic@vladimir.putin;914349587;Vanjski
Margarita;Loncar;mloncar;y&18Y50A;OU=Uprava,DC=vladimir,DC=putin;mloncar@vladimir.putin;911024937;Vanjski
Vladislav;Posavec;vposavec;f%58V41W;OU=Vanjski korisnici,DC=vladimir,DC=putin;vposavec@vladimir.putin;915824115;Zaposlenici
Bojan;Cosci;bcosci;"j""17S43E";OU=Vanjski korisnici,DC=vladimir,DC=putin;bcosci@vladimir.putin;910930262;Administrator
Bojan;Horvat;bhorvat;m!30D51I;OU=Marketing,DC=vladimir,DC=putin;bhorvat@vladimir.putin;914060297;Zaposlenici
Lela;Tomic;ltomic;v&46N27G;OU=Vanjski korisnici,DC=vladimir,DC=putin;ltomic@vladimir.putin;914156783;Vanjski
Toni;Knezevic;tknezevic;y!56R86A;OU=Uprava,DC=vladimir,DC=putin;tknezevic@vladimir.putin;917388761;DistroGrupa
Vladislav;Cosci;vcosci;y#29V45S;OU=Financije,DC=vladimir,DC=putin;vcosci@vladimir.putin;910252233;Administrator
Krsto;Knezevic;kknezevic;e&10R58C;OU=Vanjski korisnici,DC=vladimir,DC=putin;kknezevic@vladimir.putin;916060477;Vanjski
Margarita;Bozic;mbozic;"k""70N33X";OU=Marketing,DC=vladimir,DC=putin;mbozic@vladimir.putin;914891527;Vanjski
Neda;Filipovic;nfilipovic;j&79U94H;OU=Vanjski korisnici,DC=vladimir,DC=putin;nfilipovic@vladimir.putin;912531744;Zaposlenici
Margarita;Bosnjak;mbosnjak;e#78F88M;OU=Marketing,DC=vladimir,DC=putin;mbosnjak@vladimir.putin;915823390;Administrator
Tvrtko;Kovacevic;tkovacevic;c!34I46M;OU=Uprava,DC=vladimir,DC=putin;tkovacevic@vladimir.putin;910920709;Vanjski
Ann;Loncar;aloncar;t!61O96I;OU=Financije,DC=vladimir,DC=putin;aloncar@vladimir.putin;912711805;DistroGrupa
Vladislav;Bosnjak;vbosnjak;c!23H89P;OU=Uprava,DC=vladimir,DC=putin;vbosnjak@vladimir.putin;914723611;DistroGrupa
Kresimir;Loncar;kloncar;o#86V96S;OU=Marketing,DC=vladimir,DC=putin;kloncar@vladimir.putin;919343477;DistroGrupa
Tvrtko;Cosci;tcosci;i%19C40Y;OU=Financije,DC=vladimir,DC=putin;tcosci@vladimir.putin;916953399;Zaposlenici
Drzislav;Kovacevic;dkovacevic;y#88O97I;OU=Financije,DC=vladimir,DC=putin;dkovacevic@vladimir.putin;914672643;DistroGrupa
Kosjenka;Kovacevic;kkovacevic;v&52X95J;OU=Vanjski korisnici,DC=vladimir,DC=putin;kkovacevic@vladimir.putin;917510598;Administrator
Kresimir;Kovacevic;kkovacevic;i!65Z28L;OU=Financije,DC=vladimir,DC=putin;kkovacevic@vladimir.putin;918918604;Zaposlenici
Kresimir;Posavec;kposavec;z#49N86K;OU=Financije,DC=vladimir,DC=putin;kposavec@vladimir.putin;913934813;Administrator
Neda;Bosnjak;nbosnjak;"v""76L44H";OU=Uprava,DC=vladimir,DC=putin;nbosnjak@vladimir.putin;912557098;Vanjski
George;Horvat;ghorvat;m$95L58Z;OU=Financije,DC=vladimir,DC=putin;ghorvat@vladimir.putin;913977189;Zaposlenici
Tvrtko;Jukic;tjukic;"e""51B43Y";OU=Financije,DC=vladimir,DC=putin;tjukic@vladimir.putin;919185733;Vanjski
Vesna;Jukic;vjukic;b!12X78K;OU=Financije,DC=vladimir,DC=putin;vjukic@vladimir.putin;915128232;Zaposlenici
Matt;Knezevic;mknezevic;s$22I73F;OU=Uprava,DC=vladimir,DC=putin;mknezevic@vladimir.putin;914665317;Administrator
Kresimir;Cosci;kcosci;o$15J98Q;OU=Uprava,DC=vladimir,DC=putin;kcosci@vladimir.putin;918972892;DistroGrupa
Vuk;Jukic;vjukic;o%10P67B;OU=Vanjski korisnici,DC=vladimir,DC=putin;vjukic@vladimir.putin;914014134;Administrator
Vladislava;Bosnjak;vbosnjak;e#90T57E;OU=Marketing,DC=vladimir,DC=putin;vbosnjak@vladimir.putin;910929037;DistroGrupa
Toni;Filipovic;tfilipovic;"p""22D87R";OU=Marketing,DC=vladimir,DC=putin;tfilipovic@vladimir.putin;915682008;Zaposlenici
Matt;Mamic;mmamic;s&66B47X;OU=Vanjski korisnici,DC=vladimir,DC=putin;mmamic@vladimir.putin;913862269;DistroGrupa
Kosjenka;Bozic;kbozic;"j""59U44R";OU=Vanjski korisnici,DC=vladimir,DC=putin;kbozic@vladimir.putin;918574683;Zaposlenici
Tvrtko;Kovacevic;tkovacevic;y&15R81S;OU=Vanjski korisnici,DC=vladimir,DC=putin;tkovacevic@vladimir.putin;912552257;DistroGrupa
Buga;Horvat;bhorvat;"g""72N66J";OU=Uprava,DC=vladimir,DC=putin;bhorvat@vladimir.putin;916532389;Zaposlenici
Vesna;Tomic;vtomic;n#19R78I;OU=Marketing,DC=vladimir,DC=putin;vtomic@vladimir.putin;917646563;DistroGrupa
Branimir;Nikolic;bnikolic;"b""57Z54O";OU=Uprava,DC=vladimir,DC=putin;bnikolic@vladimir.putin;919865197;DistroGrupa
Vladislava;Knezevic;vknezevic;m%67Q38L;OU=Financije,DC=vladimir,DC=putin;vknezevic@vladimir.putin;911019217;DistroGrupa
Kosjenka;Knezevic;kknezevic;w%63Y84J;OU=Marketing,DC=vladimir,DC=putin;kknezevic@vladimir.putin;911911786;Administrator
Margarita;Simunovic;msimunovic;k&76R25U;OU=Uprava,DC=vladimir,DC=putin;msimunovic@vladimir.putin;916838792;Zaposlenici
Hrvojka;Tomic;htomic;x&83F54K;OU=Uprava,DC=vladimir,DC=putin;htomic@vladimir.putin;912907812;Vanjski
Zora;Tomic;ztomic;"q""86G12K";OU=Financije,DC=vladimir,DC=putin;ztomic@vladimir.putin;913060874;Zaposlenici
Pero;Mamic;pmamic;c$56T68X;OU=Marketing,DC=vladimir,DC=putin;pmamic@vladimir.putin;912675360;Zaposlenici
Bojana;Loncar;bloncar;y!25Y51R;OU=Financije,DC=vladimir,DC=putin;bloncar@vladimir.putin;916230363;Zaposlenici
Toni;Tomic;ttomic;g#14D48Q;OU=Uprava,DC=vladimir,DC=putin;ttomic@vladimir.putin;916327885;Administrator
Lela;Knezevic;lknezevic;a$66Q95I;OU=Uprava,DC=vladimir,DC=putin;lknezevic@vladimir.putin;911455845;Zaposlenici
Tvrtko;Cosci;tcosci;t%43V39U;OU=Vanjski korisnici,DC=vladimir,DC=putin;tcosci@vladimir.putin;917075955;Zaposlenici
Bojan;Tomic;btomic;l$17I99W;OU=Uprava,DC=vladimir,DC=putin;btomic@vladimir.putin;915136989;Zaposlenici
Zora;Bozic;zbozic;c!74Z75H;OU=Uprava,DC=vladimir,DC=putin;zbozic@vladimir.putin;917617845;Vanjski
Vesna;Cosci;vcosci;s%48P19E;OU=Financije,DC=vladimir,DC=putin;vcosci@vladimir.putin;910539141;Zaposlenici
Pero;Kovacevic;pkovacevic;f#21G57W;OU=Vanjski korisnici,DC=vladimir,DC=putin;pkovacevic@vladimir.putin;916580053;DistroGrupa
